Nom;Ticker;Coef;Days;DE_Ratio;Fair_Value;Date_MAJ;Best_MT;Best_CT
Apollo Global Management;APO;0.79;730;100.97;152.842;01/09/2026;60;30
Apple Inc.;AAPL;0.79;730;78.44;324.453;01/09/2026;60;30
Applied Materials;AMAT;0.79;730;28.67;640.314;01/09/2026;60;30
AppLovin;APP;0.79;730;111.13;522.29;01/09/2026;60;30
Aptiv;APTV;0.79;730;64.94;66.611;01/09/2026;60;30
Arch Capital Group;ACGL;0.79;730;17.84;111.868;01/09/2026;60;30
Archer Daniels Midland;ADM;0.79;730;39.13;78.7;01/09/2026;60;30
Ares Management;ARES;0.79;730;172.38;147.5;01/09/2026;60;30
Arista Networks;ANET;2;730;nan;241.815;01/09/2026;40;20
Arthur J. Gallagher & Co.;AJG;0.79;730;59.4;291.556;01/09/2026;60;30
Assurant;AIZ;0.79;730;36.21;330;01/09/2026;60;30
AT&T;T;0.79;730;129.05;28.707;01/09/2026;60;30
Atmos Energy;ATO;0.79;730;67.66;188.182;01/09/2026;60;30
Autodesk;ADSK;0.79;730;109.52;315.426;01/09/2026;60;30
Automatic Data Processing;ADP;0.79;730;91.44;287.6;01/09/2026;60;30
AutoZone;AZO;0.79;730;nan;3950.522;01/09/2026;60;30
AvalonBay Communities;AVB;0.79;730;75.13;201.706;01/09/2026;60;30
Avery Dennison;AVY;0.79;730;158.65;201.8;01/09/2026;60;30
Axon Enterprise;AXON;0.79;730;50.36;693.404;01/09/2026;60;30
Baker Hughes;BKR;0.79;730;80.92;72.13;01/09/2026;60;30
Ball Corporation;BALL;0.79;730;131.5;72.571;01/09/2026;60;30
Bank of America;BAC;2;730;nan;68.773;01/09/2026;40;20
Baxter International;BAX;0.79;730;156.45;28.727;01/09/2026;60;30
Becton Dickinson;BDX;0.79;730;68.84;195.667;01/09/2026;60;30
Berkshire Hathaway;BRK-B;0.79;730;17.14;547.667;01/09/2026;60;30
Best Buy;BBY;0.79;730;129.85;86.4;01/09/2026;60;30
Bio-Techne;TECH;0.79;730;13.71;70.727;01/09/2026;60;30
Biogen;BIIB;0.79;730;44.33;236.22;01/09/2026;60;30
BlackRock;BLK;0.79;730;23.19;1320.812;01/09/2026;60;30
Blackstone Inc.;BX;0.79;730;68.19;144.048;01/09/2026;60;30
Block;SQ;0.79;730;nan;nan;01/09/2026;60;30
BNY Mellon;BK;2;730;133;833;07/03/2026;40;20
Boeing;BA;0.79;730;790.88;274.846;01/09/2026;60;30
Booking Holdings;BKNG;0.79;730;nan;238.5;01/09/2026;60;30
Boston Scientific;BSX;0.79;730;50.15;62.69;01/09/2026;60;30
Bristol Myers Squibb;BMY;0.79;730;201.86;66.208;01/09/2026;60;30
Broadcom;AVGO;0.79;730;74.02;525.974;01/09/2026;60;30
Broadridge Financial Solutions;BR;0.79;730;123.94;213.375;01/09/2026;60;30
Brown & Brown;BRO;0.79;730;63.98;76.688;01/09/2026;60;30
Brown–Forman;BF-B;0.79;730;64.95;28.082;01/09/2026;60;30
Builders FirstSource;BLDR;0.79;730;130.79;80.714;01/09/2026;60;30
Bunge Global;BG;0.79;730;98;141.222;01/09/2026;60;30
BXP Inc.;BXP;0.79;730;211.63;76.25;01/09/2026;60;30
C.H. Robinson;CHRW;0.79;730;121.19;199.84;01/09/2026;60;30
Cadence Design Systems;CDNS;0.79;730;38.66;403.12;01/09/2026;60;30
Camden Property Trust;CPT;0.79;730;125.65;117.511;01/09/2026;60;30
Campbell's Company;CPB;0.79;730;182.03;21.941;01/09/2026;60;30
Capital One;COF;2;730;nan;258.273;01/09/2026;60;30
Cardinal Health;CAH;0.79;730;nan;270.938;01/09/2026;60;30
Carnival;CCL;0.79;730;201.56;35.296;01/09/2026;60;30
Carrier Global;CARR;0.79;730;92;77.815;01/09/2026;60;30
Carvana;CVNA;0.79;730;110.88;82.975;01/09/2026;60;30
Caterpillar Inc.;CAT;0.79;730;232.78;975.606;01/09/2026;60;30
Cboe Global Markets;CBOE;0.79;730;28.09;315.143;01/09/2026;60;30
CBRE Group;CBRE;0.79;730;117.79;182.917;01/09/2026;60;30
CDW Corporation;CDW;0.79;730;263.28;155.889;01/09/2026;60;30
Cencora;COR;0.79;730;446.52;369.308;01/09/2026;60;30
Centene Corporation;CNC;0.79;730;71.08;71.667;01/09/2026;60;30
CenterPoint Energy;CNP;0.79;730;210.26;45.75;01/09/2026;60;30
CF Industries;CF;0.79;730;40.5;125.775;01/09/2026;60;30
Charles River Laboratories;CRL;0.79;730;105.05;281;01/09/2026;60;30
Charles Schwab Corporation;SCHW;0.79;730;151.11;124.95;01/09/2026;60;30
Charter Communications;CHTR;0.79;730;441.58;184.412;01/09/2026;60;30
Chevron Corporation;CVX;0.79;730;18.96;218.292;01/09/2026;60;30
Chipotle Mexican Grill;CMG;0.79;730;246.35;43.672;01/09/2026;60;30
Chubb Limited;CB;0.79;730;30.94;366.13;01/09/2026;60;30
Church & Dwight;CHD;0.79;730;55.85;105.368;01/09/2026;60;30
Ciena;CIEN;0.79;730;54.65;557.286;01/09/2026;60;30
Cigna;CI;0.79;730;74.29;341.417;01/09/2026;60;30
Cincinnati Financial;CINF;0.79;730;5.25;191.667;01/09/2026;60;30
Cintas;CTAS;0.79;730;52.65;216.312;01/09/2026;60;30
Cisco;CSCO;0.79;730;58.73;137.739;01/09/2026;60;30
Citigroup;C;2;730;nan;154.5;01/09/2026;40;20
Citizens Financial Group;CFG;2;730;nan;80.824;01/09/2026;40;10
Clorox;CLX;0.79;730;2221.43;101.647;01/09/2026;60;30
CME Group;CME;0.79;730;14.59;283.067;01/09/2026;60;30
CMS Energy;CMS;0.79;730;185.6;79.583;01/09/2026;60;30
Coca-Cola Company;KO;0.79;730;115.52;94.696;01/09/2026;60;30
Cognizant;CTSH;0.79;730;14.48;63.942;01/09/2026;60;30
Coinbase;COIN;0.79;730;50.98;197.589;01/09/2026;60;30
Colgate-Palmolive;CL;0.79;730;1388.16;98.95;01/09/2026;60;30
Comcast;CMCSA;0.79;730;100.47;30.081;01/09/2026;60;30
Comfort Systems USA;FIX;0.79;730;45.49;2197;01/09/2026;60;30
Conagra Brands;CAG;0.79;730;117.58;14.381;01/09/2026;60;30
ConocoPhillips;COP;0.79;730;35.64;145.333;01/09/2026;60;30
Consolidated Edison;ED;0.79;730;110.11;110.281;01/09/2026;60;30
Constellation Brands;STZ;0.79;730;123.2;170.826;01/09/2026;60;30
Constellation Energy;CEG;0.79;730;76.42;348.304;01/09/2026;60;30
Cooper Companies;COO;0.79;730;33.09;81.5;01/09/2026;60;30
Copart;CPRT;0.79;730;1.06;40.2;01/09/2026;60;30
Corning Inc.;GLW;0.79;730;71.45;191.4;01/09/2026;60;30
Corpay;CPAY;0.79;730;275.29;455.643;01/09/2026;60;30
Corteva;CTVA;0.79;730;19.19;92.1;01/09/2026;60;30
CoStar Group;CSGP;0.79;730;14.54;37.3;01/09/2026;60;30
Costco;COST;0.79;730;60.26;1077.314;01/09/2026;60;30
Coterra;CTRA;0.79;730;26;98;07/03/2026;60;30
CRH plc;CRH;0.79;730;77.59;138.32;01/09/2026;60;30
CrowdStrike;CRWD;0.79;730;15.96;229.306;01/09/2026;60;30
Crown Castle;CCI;0.79;730;nan;95.07;01/09/2026;60;30
CSX Corporation;CSX;0.79;730;138.07;53.141;01/09/2026;60;30
Cummins;CMI;0.79;730;59.59;757.018;01/09/2026;60;30
CVS Health;CVS;0.79;730;95.5;116.08;01/09/2026;60;30
Danaher Corporation;DHR;0.79;730;52.97;227.957;01/09/2026;60;30
Darden Restaurants;DRI;0.79;730;364.51;230.68;01/09/2026;60;30
Datadog;DDOG;0.79;730;29.26;285.18;01/09/2026;60;30
DaVita;DVA;0.79;730;1241.99;218.429;01/09/2026;60;30
Deckers Brands;DECK;0.79;730;20.52;122.81;01/09/2026;60;30
Deere & Company;DE;0.79;730;376.02;666.711;01/09/2026;60;30
Dell Technologies;DELL;2;730;nan;510.261;01/09/2026;40;20
Delta Air Lines;DAL;0.79;730;96.65;105.188;01/09/2026;60;30
Devon Energy;DVN;0.79;730;28.49;59.538;01/09/2026;60;30
Dexcom;DXCM;0.79;730;53.35;94.12;01/09/2026;60;30
Diamondback Energy;FANG;0.79;730;28.68;232.536;01/09/2026;60;30
Digital Realty;DLR;0.79;730;67.94;223.323;01/09/2026;60;30
Dollar General;DG;0.79;730;169.81;138.321;01/09/2026;60;30
Dollar Tree;DLTR;0.79;730;223.94;135.6;01/09/2026;60;30
Dominion Energy;D;0.79;730;160.46;71.818;01/09/2026;60;30
Domino's;DPZ;0.79;730;nan;380.286;01/09/2026;60;30
DoorDash;DASH;0.79;730;33.28;252.298;01/09/2026;60;30
Dover Corporation;DOV;0.79;730;42.32;246.889;01/09/2026;60;30
Dow Inc.;DOW;0.79;730;111.91;34.688;01/09/2026;60;30
D.R. Horton;DHI;0.79;730;29.45;162.917;01/09/2026;60;30
DTE Energy;DTE;0.79;730;229.06;156.857;01/09/2026;60;30
Duke Energy;DUK;0.79;730;162.16;137.278;01/09/2026;60;30
DuPont;DD;0.79;730;22.9;170;01/09/2026;60;30
Eaton Corporation;ETN;0.79;730;105.06;475.571;01/09/2026;60;30
eBay Inc.;EBAY;0.79;730;153.01;116.148;01/09/2026;60;30
Ecolab;ECL;0.79;730;138.02;324.952;01/09/2026;60;30
Edison International;EIX;0.79;730;228.04;76.25;01/09/2026;60;30
Edwards Lifesciences;EW;0.79;730;6.57;100.962;01/09/2026;60;30
Electronic Arts;EA;0.79;730;26.43;205.462;01/09/2026;60;30
Elevance Health;ELV;0.79;730;68.95;449.095;01/09/2026;60;30
Emcor;EME;0.79;730;13.43;1033.286;01/09/2026;60;30
Emerson Electric;EMR;0.79;730;67.68;171.814;01/09/2026;60;30
Entergy;ETR;0.79;730;186.77;123.325;01/09/2026;60;30
EOG Resources;EOG;0.79;730;25.89;159.963;01/09/2026;60;30
EPAM Systems;EPAM;0.79;730;4.33;122.824;01/09/2026;60;30
EQT Corporation;EQT;0.79;730;19.59;67.44;01/09/2026;60;30
Equifax;EFX;0.79;730;120.96;211.524;01/09/2026;60;30
Equinix;EQIX;0.79;730;162.22;1234.552;01/09/2026;60;30
Equity Residential;EQR;0.79;730;78.68;72.994;01/09/2026;60;30
Erie Indemnity;ERIE;0.79;730;2.56;70.772;01/09/2026;60;30
Essex Property Trust;ESS;0.79;730;122.41;304.99;01/09/2026;60;30
Estée Lauder Companies;EL;0.79;730;242.93;107.037;01/09/2026;60;30
Everest Group;EG;0.79;730;23.26;408.467;01/09/2026;60;30
Evergy;EVRG;0.79;730;160.55;91.955;01/09/2026;60;30
Eversource Energy;ES;0.79;730;180.7;73.583;01/09/2026;60;30
Exelon;EXC;0.79;730;177.36;48.882;01/09/2026;60;30
Expand Energy;EXE;0.79;730;19.21;125.52;01/09/2026;60;30
Expedia Group;EXPE;0.79;730;230.27;339.229;01/09/2026;60;30
Expeditors International;EXPD;0.79;730;26.75;177.714;01/09/2026;60;30
Extra Space Storage;EXR;0.79;730;101.67;158.7;01/09/2026;60;30
ExxonMobil;XOM;0.79;730;15.92;169.682;01/09/2026;60;30
F5 Inc.;FFIV;0.79;730;6.55;436.1;01/09/2026;60;30
FactSet;FDS;0.79;730;77.28;259.062;01/09/2026;60;30
Fair Isaac;FICO;0.79;730;nan;1462.683;01/09/2026;60;30
Fastenal;FAST;0.79;730;10.85;48.531;01/09/2026;60;30
Federal Realty Investment Trust;FRT;0.79;730;134.11;133.25;01/09/2026;60;30
FedEx;FDX;2;730;135.7;356.371;01/09/2026;40;10
Fidelity National Information Services;FIS;0.79;730;132.51;50.348;01/09/2026;60;30
Fifth Third Bancorp;FITB;5;730;nan;62.9;01/09/2026;40;10
First Solar;FSLR;0.79;730;1.88;275.305;01/09/2026;60;30
FirstEnergy;FE;0.79;730;200.91;53.167;01/09/2026;60;30
Fiserv;FI;0.79;730;77;77;28/02/2026;60;30
Ford Motor Company;F;0.79;730;456.71;15.726;01/09/2026;60;30
Fortinet;FTNT;0.79;730;36.19;160.865;01/09/2026;60;30
Fortive;FTV;0.79;730;59.28;64.308;01/09/2026;60;30
Fox Corporation A;FOXA;0.79;730;64.06;75.329;01/09/2026;60;30
Fox Corporation B;FOX;0.79;730;64.06;41.57;01/09/2026;60;30
Franklin Resources;BEN;0.79;730;24.8;35.182;01/09/2026;60;30
Freeport-McMoRan;FCX;0.79;730;32.15;72.045;01/09/2026;60;30
Galaxy Digital;GLXY;0.79;730;186.69;39.75;01/09/2026;60;30
Garmin;GRMN;0.79;730;2.51;290.286;01/09/2026;60;30
Gartner;IT;0.79;730;nan;185.154;01/09/2026;60;30
GE Aerospace;GE;0.79;730;113.22;404.905;01/09/2026;60;30
GE HealthCare;GEHC;0.79;730;93.97;82.5;01/09/2026;60;30
GE Vernova;GEV;0.79;730;28.36;1236.432;01/09/2026;60;30
Gen Digital;GEN;0.79;730;307.83;32.107;01/09/2026;60;30
Generac;GNRC;0.79;730;49;283.875;01/09/2026;60;30
General Dynamics;GD;0.79;730;35.34;420.025;01/09/2026;60;30
General Mills;GIS;0.79;730;217.63;37.556;01/09/2026;60;30
General Motors;GM;0.79;730;202.34;101.192;01/09/2026;60;30
Genuine Parts Company;GPC;0.79;730;146.41;140.375;01/09/2026;60;30
Gilead Sciences;GILD;0.79;730;223.47;157.407;01/09/2026;60;30
Global Payments;GPN;0.79;730;98.27;103.143;01/09/2026;60;30
Globe Life;GL;0.79;730;55.67;193.909;01/09/2026;60;30
GoDaddy;GDDY;0.79;730;57334.33;104.533;01/09/2026;60;30
Goldman Sachs;GS;0.79;730;725.38;1141.65;01/09/2026;60;30
Halliburton;HAL;0.79;730;74.19;43.12;01/09/2026;60;30
Hartford (The);HIG;0.79;730;22.33;149.85;01/09/2026;60;30
Hasbro;HAS;0.79;730;531.04;109.643;01/09/2026;60;30
HCA Healthcare;HCA;2;730;nan;451.476;01/09/2026;40;30
Healthpeak Properties;DOC;0.79;730;108.65;23.053;01/09/2026;60;30
Henry Schein;HSIC;0.79;730;80.73;98.188;01/09/2026;60;30
Hershey Company;HSY;0.79;730;129.82;205.524;01/09/2026;60;30
Hewlett Packard Enterprise;HPE;0.79;730;84.03;65.347;01/09/2026;60;30
Hilton Worldwide;HLT;2;730;nan;352.846;01/09/2026;60;10
Hologic;HOLX;0.79;730;nan;nan;01/09/2026;60;30
Home Depot;HD;0.79;730;380.26;377.5;01/09/2026;60;30
Honeywell;HON;0.79;730;185.37;264.318;01/09/2026;60;30
Hormel Foods;HRL;0.79;730;4.24;26.125;01/09/2026;60;30
Host Hotels & Resorts;HST;0.79;730;85.3;25.14;01/09/2026;60;30
Howmet Aerospace;HWM;0.79;730;81.37;337.128;01/09/2026;60;30
HP Inc.;HPQ;8;730;nan;29.456;01/09/2026;50;20
Hubbell Incorporated;HUBB;0.79;730;141.64;564.818;01/09/2026;60;30
Humana;HUM;0.79;730;76.48;418.609;01/09/2026;60;30
Huntington Bancshares;HBAN;1;730;nan;20.3;01/09/2026;40;20
Huntington Ingalls Industries;HII;0.79;730;55.25;368.417;01/09/2026;60;30
IBM;IBM;0.79;730;188.97;244.912;01/09/2026;60;30
